evnum  e_px   e_py   e_pz  piPlus_px  piPlus_py  piPlus_pz  piMinus_px  piMinus_py  piMinus_pz  x     y     Q2    W     Mmiss  Zpair   Mh     gamma  epsilon  dp_A   dp_C  dp_W  s_Harut  s_PRL  s_Fiducial
442    1.01   0.47   3.27  0.02       -0.60      0.76       0.16        0.59        1.48        0.29  0.67  3.92  3.22  1.64   0.36    1.28   0.28   0.56     0.77   0.43  0.52  0        0      1
462    -0.05  0.40   1.05  -0.41      0.13       2.07       0.49        -0.30       0.96        0.09  0.89  1.59  4.13  2.97   0.34    1.15   0.13   0.20     4.33   0.49  2.44  0        0      1
462    -0.05  0.40   1.05  0.28       0.25       0.31       0.49        -0.30       0.96        0.09  0.89  1.59  4.13  2.80   0.17    0.68   0.13   0.20     4.33   0.49  2.44  0        0      1
464    -0.65  0.75   6.00  0.11       -0.48      2.39       -0.09       -0.43       0.31        0.20  0.43  1.74  2.76  1.42   0.66    0.94   0.29   0.85     4.89   0.32  2.35  0        0      1
465    -1.02  0.14   5.04  0.29       -0.07      1.15       -0.08       0.36        0.93        0.21  0.52  2.19  2.99  2.15   0.40    0.65   0.27   0.77     2.82   0.37  1.62  0        0      1
485    0.47   -0.60  1.74  0.50       0.11       3.20       -0.23       0.32        1.39        0.20  0.82  3.34  3.73  2.38   0.54    0.85   0.21   0.33     0.99   0.47  0.64  0        0      1
486    -0.38  0.97   4.14  0.20       -0.40      1.08       -0.34       -0.61       3.20        0.23  0.60  2.75  3.17  1.71   0.70    0.71   0.26   0.67     1.67   0.41  1.07  0        0      1
512    -0.31  -0.66  1.81  -0.33      0.84       3.67       0.56        0.33        1.92        0.19  0.82  3.03  3.75  1.94   0.67    1.06   0.20   0.34     1.21   0.47  0.79  0        0      1
520    -0.43  1.05   2.27  0.33       -0.26      1.62       0.56        0.12        1.83        0.38  0.76  5.69  3.21  2.07   0.45    0.51   0.30   0.42     0.34   0.45  0.23  0        0      1
520    -0.43  1.05   2.27  -0.36      -0.01      0.72       0.56        0.12        1.83        0.38  0.76  5.69  3.21  2.10   0.34    0.97   0.30   0.42     0.34   0.45  0.23  0        0      1
649    0.45   -0.38  1.72  -0.22      0.03       1.78       -0.45       -0.19       0.85        0.13  0.83  2.09  3.91  2.94   0.32    0.62   0.16   0.32     2.56   0.48  1.67  0        0      1
649    0.45   -0.38  1.72  0.07       0.17       0.74       -0.45       -0.19       0.85        0.13  0.83  2.09  3.91  3.16   0.20    0.66   0.16   0.32     2.56   0.48  1.67  0        0      1
726    -0.27  -0.96  5.89  0.08       0.06       0.98       0.39        0.20        0.90        0.21  0.44  1.79  2.79  2.04   0.43    0.45   0.29   0.84     4.57   0.33  2.25  0        0      0
735    0.91   0.18   5.64  -0.09      0.48       0.66       -0.19       -0.73       1.28        0.17  0.46  1.59  2.91  1.66   0.48    1.22   0.26   0.83     5.73   0.34  2.98  0        0      0
757    -0.06  0.41   1.39  0.26       -0.81      1.98       0.36        -0.31       1.83        0.08  0.86  1.29  4.10  2.55   0.44    0.54   0.12   0.26     6.65   0.49  4.10  0        0      0
765    0.93   0.25   3.59  0.04       0.12       0.83       -0.74       0.34        2.46        0.21  0.65  2.70  3.33  2.19   0.50    0.59   0.24   0.61     1.67   0.43  1.12  0        0      1
775    -0.34  -1.07  4.61  -0.08      0.45       0.81       0.44        0.24        1.28        0.26  0.55  2.87  3.00  2.15   0.40    0.65   0.29   0.73     1.57   0.38  0.95  0        0      1
790    0.18   0.60   2.61  0.25       -0.16      0.48       -0.02       0.53        1.50        0.11  0.75  1.57  3.76  2.71   0.28    0.79   0.16   0.47     4.73   0.46  3.30  0        0      1
823    0.03   -0.68  2.31  0.54       0.10       3.71       -0.48       -0.23       1.01        0.14  0.77  2.10  3.76  2.10   0.60    1.33   0.18   0.42     2.58   0.47  1.77  0        0      0
898    0.09   0.42   1.97  -0.38      -0.28      1.52       0.58        0.06        0.16        0.06  0.81  0.96  4.00  2.21   0.26    1.42   0.11   0.36     12.23  0.48  8.26  0        0      0
898    0.09   0.42   1.97  -0.08      -0.30      1.12       0.58        0.06        0.16        0.06  0.81  0.96  4.00  2.31   0.21    1.13   0.11   0.36     12.23  0.48  8.26  0        0      0
1019   0.45   0.60   2.16  0.01       -0.14      1.01       0.03        -0.44       0.62        0.17  0.78  2.65  3.72  2.99   0.22    0.51   0.20   0.40     1.60   0.47  1.09  0        0      1
1046   -0.34  -0.70  3.97  0.26       -0.18      0.27       0.29        -0.10       0.86        0.13  0.62  1.60  3.40  2.52   0.21    0.44   0.19   0.66     4.93   0.42  3.25  0        0      1
1059   -0.02  -0.50  1.21  -0.06      -0.26      0.83       -0.13       0.58        0.82        0.12  0.88  2.14  4.02  3.04   0.21    0.88   0.16   0.23     2.39   0.49  1.41  0        0      1
1170   0.38   -0.73  4.79  0.37       0.37       1.77       -0.44       0.14        0.55        0.14  0.54  1.48  3.19  2.11   0.45    1.02   0.21   0.75     6.13   0.39  3.68  0        0      0
1195   -0.26  0.63   2.73  0.09       -0.50      1.76       -0.49       0.07        0.64        0.12  0.73  1.76  3.71  2.54   0.34    0.98   0.17   0.49     3.78   0.46  2.63  0        0      0
1238   0.76   -0.09  1.71  0.09       -0.19      1.47       0.42        0.02        0.70        0.21  0.82  3.47  3.71  2.68   0.27    0.62   0.21   0.32     0.91   0.47  0.59  0        0      0
1245   0.13   0.41   1.46  -0.14      0.32       1.21       -0.03       0.37        0.47        0.08  0.86  1.31  4.08  3.06   0.21    0.46   0.13   0.27     6.51   0.49  4.07  0        0      1
1250   -0.06  0.86   1.97  -0.31      -0.14      1.07       -0.04       -0.75       2.81        0.24  0.80  3.81  3.60  2.42   0.48    0.62   0.23   0.37     0.77   0.47  0.51  0        0      1
1318   -0.33  -0.52  1.45  -0.08      0.20       1.11       0.37        -0.24       1.30        0.16  0.85  2.63  3.90  3.11   0.28    0.67   0.18   0.28     1.59   0.48  0.99  0        0      0
1496   -0.15  -0.93  2.60  0.27       -0.19      1.56       0.33        -0.17       0.46        0.24  0.74  3.48  3.48  2.34   0.28    0.56   0.24   0.47     0.95   0.45  0.65  0        0      1
1496   -0.15  -0.93  2.60  -0.14      -0.01      0.60       0.33        -0.17       0.46        0.24  0.74  3.48  3.48  2.71   0.16    0.59   0.24   0.47     0.95   0.45  0.65  0        0      1
1652   0.21   0.79   1.53  0.13       0.15       1.48       0.42        -0.58       2.57        0.26  0.84  4.32  3.63  2.42   0.47    0.71   0.23   0.29     0.59   0.47  0.37  0        0      0
1766   0.94   0.25   3.21  -0.37      0.07       1.40       -0.70       -0.13       1.17        0.22  0.68  3.03  3.38  2.31   0.39    0.52   0.24   0.56     1.29   0.44  0.88  0        0      1
1768   0.31   -0.39  1.71  -0.07      -0.20      0.88       0.36        0.42        0.60        0.09  0.83  1.50  3.99  2.98   0.20    0.85   0.14   0.32     4.96   0.48  3.24  0        0      1
1982   -1.11  -0.02  3.00  0.13       -0.13      1.65       0.37        -0.08       0.50        0.30  0.70  4.20  3.25  2.51   0.31    0.64   0.28   0.53     0.66   0.44  0.45  0        0      0
2022   0.13   0.67   1.60  0.24       -0.11      0.74       -0.55       0.29        1.02        0.18  0.84  2.98  3.81  2.77   0.23    0.88   0.19   0.30     1.24   0.48  0.79  0        0      1
2032   0.37   -0.74  4.72  0.32       -0.04      0.51       -0.60       0.89        2.57        0.14  0.55  1.51  3.21  1.81   0.59    1.14   0.21   0.74     5.86   0.39  3.55  0        0      0
2072   0.42   0.26   1.33  -0.47      -0.35      3.34       0.23        0.33        0.70        0.11  0.87  1.91  4.03  2.73   0.46    1.17   0.15   0.25     3.02   0.49  1.84  0        0      1
2094   -0.04  0.29   0.62  -0.28      -0.31      2.04       -0.25       -0.82       5.76        0.07  0.94  1.36  4.26  1.69   0.80    0.46   0.12   0.12     5.84   0.49  2.68  0        0      1
2110   0.42   0.87   6.25  0.21       0.30       0.53       -0.45       -0.73       1.23        0.20  0.40  1.58  2.71  1.54   0.51    1.16   0.29   0.87     6.07   0.31  2.77  0        0      0
2184   0.90   -0.05  5.25  -0.57      0.37       1.60       -0.19       -0.38       0.48        0.16  0.50  1.62  3.03  1.95   0.45    0.93   0.24   0.79     5.32   0.36  2.97  0        0      0
2198   0.34   -0.80  3.90  -0.22      -0.08      0.69       0.41        0.07        0.90        0.16  0.62  2.03  3.35  2.56   0.26    0.70   0.22   0.65     3.03   0.42  2.00  0        0      1
2259   -0.51  0.61   3.06  -0.00      -0.34      1.15       0.02        -0.35       0.71        0.15  0.70  2.15  3.56  2.83   0.27    0.33   0.20   0.53     2.57   0.45  1.78  0        0      1
2259   -0.51  0.61   3.06  0.27       -0.17      0.55       0.02        -0.35       0.71        0.15  0.70  2.15  3.56  2.90   0.20    0.42   0.20   0.53     2.57   0.45  1.78  0        0      1
2278   -0.47  -0.74  4.63  0.73       0.26       1.27       0.07        0.93        1.36        0.16  0.56  1.76  3.19  1.43   0.53    0.98   0.23   0.73     4.27   0.39  2.61  0        0      0
2278   -0.47  -0.74  4.63  -0.31      -0.38      1.37       0.07        0.93        1.36        0.16  0.56  1.76  3.19  1.64   0.53    1.38   0.23   0.73     4.27   0.39  2.61  0        0      0
2296   0.77   -0.95  6.14  -0.02      0.12       1.38       -0.77       -0.12       1.14        0.31  0.41  2.55  2.54  1.26   0.64    0.87   0.37   0.86     2.23   0.31  1.03  0        0      1
2319   -0.11  -0.66  3.02  0.15       0.26       1.57       -0.48       -0.17       1.51        0.11  0.71  1.56  3.66  2.59   0.43    0.81   0.17   0.53     4.90   0.45  3.41  1        1      1
2319   -0.11  -0.66  3.02  0.15       0.58       0.81       -0.48       -0.17       1.51        0.11  0.71  1.56  3.66  2.46   0.35    1.09   0.17   0.53     4.90   0.45  3.41  0        0      1
2321   -0.21  -0.49  1.70  -0.09      0.71       2.99       0.27        -0.22       0.84        0.10  0.83  1.72  3.97  2.73   0.45    1.03   0.15   0.32     3.77   0.48  2.45  0        0      1
2321   -0.21  -0.49  1.70  -0.05      -0.26      0.84       0.27        -0.22       0.84        0.10  0.83  1.72  3.97  3.16   0.21    0.43   0.15   0.32     3.77   0.48  2.45  0        0      1
2388   -1.25  -0.35  5.88  0.16       -0.33      1.30       0.63        -0.09       2.05        0.35  0.43  2.99  2.55  1.17   0.76    0.54   0.38   0.84     1.57   0.32  0.76  0        0      1
2461   -0.92  -0.04  5.10  0.07       0.56       0.72       0.43        -0.22       0.64        0.17  0.51  1.76  3.05  1.97   0.32    0.90   0.24   0.78     4.44   0.37  2.54  0        0      1
2461   -0.92  -0.04  5.10  -0.21      0.06       0.82       0.43        -0.22       0.64        0.17  0.51  1.76  3.05  2.24   0.31    0.78   0.24   0.78     4.44   0.37  2.54  0        0      1
2496   0.43   -0.93  5.87  0.18       0.24       0.71       0.60        0.32        1.62        0.22  0.44  1.88  2.78  1.38   0.55    0.36   0.30   0.84     4.10   0.33  2.03  0        0      0
2530   -1.93  -0.68  7.80  0.11       0.23       1.05       0.06        -0.40       0.93        1.17  0.24  5.60  0.24  1.62   0.83    0.70   0.93   0.93     0.37   0.15  0.10  0        0      1
2548   -0.07  -0.39  1.11  0.16       -0.10      0.46       -0.45       -0.08       0.40        0.08  0.89  1.44  4.14  3.18   0.12    0.67   0.13   0.21     5.28   0.49  3.03  0        0      1
2751   -0.31  -0.77  5.62  0.54       0.39       1.18       0.37        -0.23       0.93        0.14  0.46  1.29  2.97  1.73   0.49    0.67   0.23   0.82     8.68   0.35  4.55  0        0      0
2844   0.04   0.69   1.82  -0.31      -0.03      2.20       0.51        -0.37       1.18        0.17  0.82  2.71  3.80  2.63   0.41    1.07   0.19   0.34     1.52   0.47  1.00  0        0      1
2902   -0.47  0.68   5.07  0.30       0.04       0.55       -0.54       -0.42       1.59        0.14  0.52  1.41  3.12  2.02   0.43    0.94   0.22   0.78     6.97   0.37  4.02  0        0      1
2904   0.78   -0.36  1.19  -0.65      -0.05      3.07       -0.43       0.62        2.49        0.34  0.86  5.90  3.48  1.93   0.63    0.79   0.27   0.24     0.31   0.47  0.18  0        0      1
2904   0.78   -0.36  1.19  -0.34      -0.02      3.01       -0.43       0.62        2.49        0.34  0.86  5.90  3.48  2.07   0.62    0.76   0.27   0.24     0.31   0.47  0.18  0        0      1
2985   -0.54  0.90   7.05  0.24       0.05       0.46       -0.34       -0.01       0.68        0.25  0.33  1.66  2.40  1.57   0.38    0.64   0.37   0.92     5.87   0.26  2.15  0        0      1
3071   0.77   -0.07  1.30  -0.14      0.22       2.10       -0.68       -0.25       1.09        0.26  0.86  4.52  3.66  2.47   0.38    0.98   0.23   0.25     0.53   0.48  0.32  0        0      0
3105   0.50   0.87   7.92  0.17       -0.00      0.46       -0.72       -0.38       1.69        0.27  0.25  1.33  2.11  0.92   0.91    0.80   0.44   0.95     10.01  0.20  2.72  0        0      0
3119   0.48   0.18   1.94  -0.65      0.02       2.33       0.21        -0.37       0.53        0.09  0.81  1.40  3.95  2.74   0.36    1.10   0.14   0.36     5.77   0.48  3.87  0        0      1
3168   1.28   -0.07  2.50  -0.54      -0.11      1.42       -0.80       -0.16       1.37        0.45  0.74  6.53  3.00  1.75   0.40    0.38   0.33   0.46     0.26   0.44  0.17  0        0      1
3281   0.53   0.26   2.13  -0.04      0.24       2.38       -0.28       0.20        0.64        0.11  0.79  1.69  3.87  2.85   0.37    0.64   0.15   0.39     3.96   0.47  2.70  0        0      1
3312   -1.28  -0.55  4.67  0.16       0.24       1.15       0.36        0.38        0.82        0.40  0.54  4.29  2.71  1.97   0.38    0.45   0.36   0.73     0.69   0.37  0.40  0        0      1
3319   0.06   -0.55  1.45  -0.04      -0.14      0.79       0.37        0.49        1.46        0.13  0.85  2.18  3.96  3.11   0.27    0.70   0.16   0.28     2.32   0.48  1.44  0        0      1
3416   -0.29  0.19   0.71  0.12       0.32       0.54       -0.21       -0.35       1.38        0.09  0.93  1.65  4.20  3.34   0.21    0.84   0.13   0.14     3.96   0.49  1.92  0        0      0
3434   0.63   -0.01  2.23  0.03       -0.39      1.41       -0.17       0.69        1.22        0.12  0.78  1.85  3.82  2.62   0.35    1.14   0.16   0.41     3.32   0.47  2.28  0        0      1
3434   0.63   -0.01  2.23  -0.26      -0.23      0.90       -0.17       0.69        1.22        0.12  0.78  1.85  3.82  2.72   0.29    0.91   0.16   0.41     3.32   0.47  2.28  0        0      1
3444   -0.33  -0.71  4.47  0.07       0.21       0.78       -0.28       -0.20       0.79        0.13  0.57  1.45  3.29  2.57   0.28    0.60   0.20   0.71     6.25   0.40  3.92  0        0      1
3456   1.00   0.50   4.36  -0.53      -0.28      2.45       -0.38       -0.23       0.95        0.26  0.58  2.99  3.06  1.96   0.59    0.44   0.28   0.70     1.42   0.39  0.89  0        0      0
3467   -0.46  0.91   5.60  0.24       0.24       0.33       -0.17       -0.60       2.29        0.21  0.46  1.94  2.86  1.66   0.58    1.12   0.28   0.82     3.78   0.34  1.97  0        0      1
3516   -0.56  -0.96  5.74  -0.23      0.05       0.38       0.11        0.54        0.77        0.26  0.45  2.28  2.74  1.96   0.30    0.59   0.32   0.83     2.73   0.33  1.38  0        0      1
3636   0.13   1.15   4.17  -0.13      -0.40      0.37       -0.22       -0.80       2.87        0.28  0.59  3.36  3.05  1.75   0.57    0.81   0.29   0.68     1.11   0.40  0.70  0        0      1
3680   0.44   0.27   1.11  -0.48      -0.03      2.91       -0.39       -0.09       0.50        0.14  0.88  2.41  4.01  2.80   0.38    0.79   0.17   0.22     1.88   0.49  1.08  0        0      1
3748   0.28   -0.65  2.55  -0.46      -0.08      0.75       0.34        -0.02       0.54        0.14  0.75  2.06  3.71  2.77   0.19    0.84   0.18   0.46     2.72   0.46  1.89  0        0      1
3807   -0.09  -0.53  1.98  0.22       -0.04      0.40       -0.69       -0.31       2.15        0.09  0.81  1.50  3.93  2.71   0.32    0.89   0.14   0.36     5.04   0.48  3.40  0        0      1
3900   0.51   -0.03  1.31  -0.14      0.33       2.45       0.41        0.02        0.50        0.12  0.87  2.07  4.01  2.82   0.34    0.98   0.16   0.25     2.56   0.49  1.55  0        0      0
3966   0.06   0.56   2.38  -0.08      0.31       0.82       0.37        -0.38       2.20        0.09  0.77  1.39  3.85  2.79   0.39    0.88   0.14   0.43     5.96   0.47  4.13  0        0      0
3997   -0.03  0.82   1.69  0.14       -0.14      0.54       0.47        -0.27       0.81        0.24  0.82  3.97  3.64  2.79   0.18    0.35   0.23   0.32     0.70   0.47  0.45  0        0      1
4005   0.77   0.31   1.87  -0.28      -0.30      0.49       -0.34       -0.10       0.98        0.23  0.81  3.73  3.63  2.82   0.20    0.45   0.23   0.35     0.80   0.47  0.53  0        0      1
4008   1.15   -0.70  4.29  -0.51      1.22       4.14       -0.55       -0.20       0.88        0.39  0.58  4.41  2.82  0.93   0.89    1.41   0.34   0.69     0.63   0.39  0.39  0        0      0
4046   1.32   0.16   3.36  -0.06      0.45       1.43       -0.59       -0.17       1.23        0.41  0.66  5.40  2.93  1.93   0.41    0.88   0.33   0.58     0.40   0.42  0.26  1        1      1
4072   0.32   -0.23  1.18  -0.07      -0.09      0.66       0.33        -0.22       0.62        0.08  0.88  1.37  4.13  3.41   0.15    0.50   0.12   0.22     5.88   0.49  3.44  0        0      1
4074   0.65   -0.03  2.20  0.32       -0.16      1.90       0.05        -0.34       0.97        0.13  0.78  1.99  3.81  2.72   0.36    0.49   0.17   0.40     2.87   0.47  1.96  0        0      1
4075   -0.61  1.01   6.89  0.07       -0.54      1.68       0.25        0.19        0.43        0.32  0.34  2.14  2.35  1.37   0.64    0.85   0.41   0.91     3.39   0.26  1.29  0        0      1
4133   -0.77  1.23   4.53  0.48       -0.27      0.88       0.45        0.03        0.78        0.44  0.55  4.81  2.65  1.67   0.34    0.40   0.38   0.72     0.54   0.37  0.32  0        0      1
4142   0.78   0.26   3.19  0.12       0.20       2.00       -0.11       -0.50       0.63        0.16  0.69  2.24  3.52  2.39   0.39    1.03   0.20   0.55     2.38   0.44  1.64  0        0      0
4223   0.71   0.12   3.81  0.29       0.27       2.02       -0.52       -0.16       1.80        0.11  0.63  1.44  3.47  2.16   0.59    0.97   0.18   0.64     6.08   0.43  4.07  1        1      1
4231   0.77   0.02   4.22  0.23       0.10       0.68       -0.40       0.16        0.61        0.13  0.60  1.48  3.35  2.60   0.24    0.69   0.19   0.69     5.88   0.41  3.79  0        0      1
4285   -1.05  0.80   3.53  0.52       -0.07      1.76       0.34        -0.37       2.05        0.40  0.64  5.08  2.94  1.94   0.58    0.46   0.33   0.60     0.46   0.41  0.30  1        1      1
4301   -0.00  -1.12  3.63  0.50       0.98       3.03       -0.53       -0.31       1.71        0.28  0.64  3.61  3.17  1.44   0.74    1.60   0.28   0.61     0.92   0.42  0.61  0        0      0
4378   -0.29  1.68   3.89  0.25       -0.15      0.52       -0.44       -0.10       1.03        0.64  0.60  7.61  2.28  1.33   0.27    0.75   0.43   0.64     0.20   0.38  0.12  0        0      0
4379   -0.17  -0.57  2.98  -0.04      0.37       1.77       -0.11       -0.28       0.49        0.09  0.71  1.25  3.72  2.85   0.32    0.80   0.15   0.52     7.61   0.45  5.32  0        0      0
4379   -0.17  -0.57  2.98  0.31       0.14       1.13       -0.11       -0.28       0.49        0.09  0.71  1.25  3.72  2.95   0.23    0.69   0.15   0.52     7.61   0.45  5.32  0        0      0
4393   -0.10  0.70   1.65  -0.11      -0.78      2.16       0.44        -0.08       0.69        0.18  0.83  3.04  3.79  2.52   0.36    0.94   0.20   0.31     1.19   0.48  0.77  0        0      1
4393   -0.10  0.70   1.65  -0.47      -0.18      1.00       0.44        -0.08       0.69        0.18  0.83  3.04  3.79  2.76   0.22    0.97   0.20   0.31     1.19   0.48  0.77  0        0      1
4556   0.76   -0.98  3.78  -0.52      0.19       3.07       -0.27       0.30        0.54        0.34  0.62  4.22  3.01  1.87   0.58    0.80   0.31   0.63     0.67   0.41  0.44  0        0      1
4556   0.76   -0.98  3.78  -0.36      0.60       2.17       -0.27       0.30        0.54        0.34  0.62  4.22  3.01  2.03   0.45    0.54   0.31   0.63     0.67   0.41  0.44  0        0      1
4625   -0.62  1.09   5.03  0.30       0.25       0.81       -0.25       -0.13       0.73        0.32  0.51  3.28  2.79  1.89   0.31    0.72   0.33   0.77     1.22   0.36  0.69  0        0      1
4673   -0.28  -0.23  1.05  -0.52      -0.41      2.07       0.44        -0.06       0.80        0.07  0.90  1.31  4.17  2.90   0.33    1.07   0.12   0.20     6.41   0.49  3.60  0        0      0
4673   -0.28  -0.23  1.05  -0.52      -0.41      2.07       0.18        0.25        0.65        0.07  0.90  1.31  4.17  3.05   0.31    0.97   0.12   0.20     6.41   0.49  3.60  0        0      0
4673   -0.28  -0.23  1.05  -0.03      0.22       1.93       0.44        -0.06       0.80        0.07  0.90  1.31  4.17  3.25   0.30    0.78   0.12   0.20     6.41   0.49  3.60  0        0      0
4673   -0.28  -0.23  1.05  -0.03      0.22       1.93       0.18        0.25        0.65        0.07  0.90  1.31  4.17  3.37   0.28    0.54   0.12   0.20     6.41   0.49  3.60  0        0      0
4748   0.12   0.50   1.03  -0.20      0.35       2.87       -0.08       -0.49       1.44        0.14  0.89  2.54  4.01  2.77   0.47    0.98   0.17   0.20     1.69   0.49  0.94  0        0      1
4748   0.12   0.50   1.03  0.03       -0.33      0.26       -0.08       -0.49       1.44        0.14  0.89  2.54  4.01  2.96   0.21    0.57   0.17   0.20     1.69   0.49  0.94  0        0      1
4793   -0.10  0.36   0.98  0.04       0.26       1.39       -0.15       -0.43       1.33        0.08  0.90  1.42  4.17  3.31   0.30    0.77   0.12   0.19     5.46   0.49  3.00  0        0      1
4823   0.61   -0.94  2.39  -0.20      1.07       3.40       -0.33       -0.19       0.78        0.35  0.75  5.29  3.24  1.88   0.56    1.13   0.29   0.44     0.40   0.45  0.27  0        0      1
4861   0.43   1.11   7.52  -0.22      -0.16      0.82       0.05        -0.98       1.28        0.35  0.28  1.98  2.12  1.00   0.84    0.69   0.47   0.94     4.17   0.22  1.30  0        0      1
4881   -1.20  0.34   2.94  0.29       -0.54      3.25       1.11        -0.13       2.05        0.39  0.70  5.38  3.07  1.25   0.76    1.19   0.31   0.52     0.39   0.43  0.27  0        0      0
4905   -1.05  0.19   4.61  0.28       0.39       1.63       0.30        -0.28       1.05        0.24  0.55  2.60  3.05  2.11   0.48    0.73   0.27   0.73     1.93   0.39  1.17  0        0      0
4905   -1.05  0.19   4.61  -0.03      -0.15      1.02       0.30        -0.28       1.05        0.24  0.55  2.60  3.05  2.32   0.37    0.44   0.27   0.73     1.93   0.39  1.17  0        0      0
4966   0.51   -0.79  5.46  0.30       0.41       0.87       -0.34       0.10        0.82        0.18  0.48  1.71  2.95  2.11   0.38    0.76   0.26   0.81     4.86   0.35  2.61  0        0      1
4972   -0.96  -0.05  5.01  0.03       -0.47      1.20       -0.49       0.10        1.19        0.19  0.52  1.95  3.04  1.51   0.47    0.82   0.25   0.77     3.56   0.37  2.06  1        0      1
4998   0.46   -0.74  5.57  0.26       0.35       0.45       -0.43       0.12        0.89        0.15  0.47  1.43  2.96  2.08   0.33    0.81   0.24   0.82     7.07   0.35  3.73  0        0      1
5008   1.24   0.30   6.42  -0.14      0.45       1.04       -0.61       -0.24       1.44        0.35  0.38  2.66  2.42  1.30   0.68    0.87   0.40   0.88     2.08   0.29  0.89  0        0      1
5028   -0.19  -0.64  2.84  0.14       -0.18      0.39       0.56        0.57        1.41        0.11  0.72  1.66  3.69  2.58   0.27    0.73   0.17   0.50     4.28   0.46  2.99  0        0      1
5058   0.39   0.68   2.79  0.33       0.04       0.49       0.00        -0.61       2.23        0.16  0.73  2.28  3.62  2.50   0.38    0.84   0.20   0.49     2.25   0.45  1.56  0        0      1
5104   0.26   -0.43  1.15  -0.22      0.29       2.18       0.28        0.59        3.16        0.13  0.88  2.27  4.02  2.49   0.58    0.59   0.16   0.22     2.13   0.49  1.23  0        0      0
5104   0.26   -0.43  1.15  -0.01      -0.30      1.04       0.28        0.59        3.16        0.13  0.88  2.27  4.02  2.77   0.46    0.94   0.16   0.22     2.13   0.49  1.23  0        0      0
5104   0.26   -0.43  1.15  0.23       -0.18      0.34       0.28        0.59        3.16        0.13  0.88  2.27  4.02  2.72   0.40    0.99   0.16   0.22     2.13   0.49  1.23  0        0      0
5174   0.23   1.25   5.42  -0.18      -0.22      2.03       -0.03       -0.75       1.23        0.33  0.48  3.13  2.69  1.53   0.69    0.82   0.35   0.80     1.39   0.34  0.73  0        1      1
5322   0.40   0.67   4.08  0.16       -0.53      2.08       -0.56       -0.14       1.81        0.13  0.61  1.59  3.38  2.03   0.63    0.87   0.20   0.67     5.05   0.42  3.30  1        1      1
5322   0.40   0.67   4.08  0.13       -0.22      0.59       -0.56       -0.14       1.81        0.13  0.61  1.59  3.38  2.49   0.40    0.70   0.20   0.67     5.05   0.42  3.30  0        0      1
5322   0.40   0.67   4.08  0.26       0.03       0.54       -0.56       -0.14       1.81        0.13  0.61  1.59  3.38  2.44   0.39    0.85   0.20   0.67     5.05   0.42  3.30  0        0      1
5354   0.38   -0.35  1.60  -0.25      0.05       0.36       -0.10       0.39        1.09        0.10  0.84  1.75  3.98  3.26   0.18    0.50   0.15   0.30     3.64   0.48  2.33  0        0      1
